p3XHA-lic-hxg-insert	EcoNI	5427
p3XHA-lic-hxg-insert	EcoT14I	5427
p3XHA-lic-hxg-insert	Eco53kI	5427
p3XHA-lic-hxg-insert	EgeI	5427
p3XHA-lic-hxg-insert	EheI	5427
p3XHA-lic-hxg-insert	ErhI	5427
p3XHA-lic-hxg-insert	FauNDI	5427
p3XHA-lic-hxg-insert	FbaI	5427
p3XHA-lic-hxg-insert	FspAI	5427
p3XHA-lic-hxg-insert	HindIII	5427
p3XHA-lic-hxg-insert	KasI	5427
p3XHA-lic-hxg-insert	Kpn2I	5427
p3XHA-lic-hxg-insert	KroI	5427
p3XHA-lic-hxg-insert	Ksp22I	5427
p3XHA-lic-hxg-insert	MabI	5427
p3XHA-lic-hxg-insert	MlsI	5427
p3XHA-lic-hxg-insert	MluNI	5427
p3XHA-lic-hxg-insert	Mly113I	5427
p3XHA-lic-hxg-insert	MroI	5427
p3XHA-lic-hxg-insert	MroNI	5427
p3XHA-lic-hxg-insert	MscI	5427
p3XHA-lic-hxg-insert	Msp20I	5427
p3XHA-lic-hxg-insert	NaeI	5427
p3XHA-lic-hxg-insert	NarI	5427
p3XHA-lic-hxg-insert	NdeI	5427
p3XHA-lic-hxg-insert	NgoMIV	5427
p3XHA-lic-hxg-insert	NotI	5427
p3XHA-lic-hxg-insert	NruI	5427
p3XHA-lic-hxg-insert	NspI	5427
p3XHA-lic-hxg-insert	PaeR7I	5427
p3XHA-lic-hxg-insert	PciI	5427
p3XHA-lic-hxg-insert	PdiI	5427
p3XHA-lic-hxg-insert	Pfl23II	5427
p3XHA-lic-hxg-insert	PflMI	5427
p3XHA-lic-hxg-insert	PfoI	5427
p3XHA-lic-hxg-insert	PinAI	5427
p3XHA-lic-hxg-insert	PluTI	5427
p3XHA-lic-hxg-insert	PscI	5427
p3XHA-lic-hxg-insert	PshAI	5427
p3XHA-lic-hxg-insert	PsiI	5427
p3XHA-lic-hxg-insert	Psp124BI	5427
p3XHA-lic-hxg-insert	PspLI	5427
p3XHA-lic-hxg-insert	PspXI	5427
p3XHA-lic-hxg-insert	RruI	5427
p3XHA-lic-hxg-insert	SacI	5427
p3XHA-lic-hxg-insert	ScaI	5427
p3XHA-lic-hxg-insert	SexAI	5427
p3XHA-lic-hxg-insert	SfoI	5427
p3XHA-lic-hxg-insert	Sfr274I	5427
p3XHA-lic-hxg-insert	SlaI	5427
p3XHA-lic-hxg-insert	SmaI	5427
p3XHA-lic-hxg-insert	SspDI	5427
p3XHA-lic-hxg-insert	SstI	5427
p3XHA-lic-hxg-insert	StrI	5427
p3XHA-lic-hxg-insert	StyI	5427
p3XHA-lic-hxg-insert	TspMI	5427
p3XHA-lic-hxg-insert	Van91I	5427
p3XHA-lic-hxg-insert	XagI	5427
p3XHA-lic-hxg-insert	XbaI	5427
p3XHA-lic-hxg-insert	XceI	5427
p3XHA-lic-hxg-insert	XhoI	5427
p3XHA-lic-hxg-insert	XmaI	5427
p3XHA-lic-hxg-insert	XmaJI	5427
p3XHA-lic-hxg-insert	ZrmI	5427
p3XHA-lic-hxg-insert	AatII	1584,3843
p3XHA-lic-hxg-insert	AccI	928,4499
p3XHA-lic-hxg-insert	Acc65I	5362,65
p3XHA-lic-hxg-insert	AhlI	1969,3458
p3XHA-lic-hxg-insert	AlfI	34,5393
